CPU,256,700
GPU atomic,256,40800
GPU reduction,256,78700
CPU,512,1300
GPU atomic,512,119000
GPU reduction,512,79000
CPU,1024,2100
GPU atomic,1024,41300
GPU reduction,1024,176300
CPU,2048,4300
GPU atomic,2048,149500
GPU reduction,2048,88300
CPU,2,100
GPU atomic,2,27100
GPU reduction,2,32100
CPU,4,200
GPU atomic,4,40100
GPU reduction,4,48600
CPU,8,300
GPU atomic,8,32300
GPU reduction,8,54400
CPU,16,200
GPU atomic,16,38900
GPU reduction,16,51000
CPU,32,300
GPU atomic,32,43300
GPU reduction,32,58600
CPU,64,400
GPU atomic,64,32600
GPU reduction,64,54200
CPU,128,600
GPU atomic,128,52200
GPU reduction,128,60100
CPU,256,600
GPU atomic,256,25700
GPU reduction,256,63100
CPU,512,1000
GPU atomic,512,23100
GPU reduction,512,69900
CPU,1024,1800
GPU atomic,1024,24500
GPU reduction,1024,73800
CPU,2048,21900
GPU atomic,2048,25300
GPU reduction,2048,80800
CPU,2,200
GPU atomic,2,41100
GPU reduction,2,36000
CPU,4,200
GPU atomic,4,30700
GPU reduction,4,36000
CPU,8,100
GPU atomic,8,23000
GPU reduction,8,38100
CPU,16,300
GPU atomic,16,27400
GPU reduction,16,43200
CPU,32,200
GPU atomic,32,22300
GPU reduction,32,47800
CPU,64,300
GPU atomic,64,20600
GPU reduction,64,50500
CPU,128,400
GPU atomic,128,26600
GPU reduction,128,81800
CPU,256,800
GPU atomic,256,40900
GPU reduction,256,63400
CPU,512,1000
GPU atomic,512,20900
GPU reduction,512,66500
CPU,1024,1900
GPU atomic,1024,21600
GPU reduction,1024,72000
CPU,2048,3500
GPU atomic,2048,25300
GPU reduction,2048,79000
CPU,2,100
GPU atomic,2,20500
GPU reduction,2,26200
CPU,4,200
GPU atomic,4,21700
GPU reduction,4,33400
CPU,8,200
GPU atomic,8,23200
GPU reduction,8,37900
CPU,16,300
GPU atomic,16,29000
GPU reduction,16,42600
CPU,32,200
GPU atomic,32,27900
GPU reduction,32,47800
CPU,64,300
GPU atomic,64,23200
GPU reduction,64,52400
CPU,128,400
GPU atomic,128,20400
GPU reduction,128,56000
CPU,256,600
GPU atomic,256,20700
GPU reduction,256,62400
CPU,512,1000
GPU atomic,512,20900
GPU reduction,512,72900
CPU,1024,2400
GPU atomic,1024,26200
GPU reduction,1024,73800
CPU,2048,3600
GPU atomic,2048,28600
GPU reduction,2048,79700
CPU,2,200
GPU atomic,2,22200
GPU reduction,2,26700
CPU,4,200
GPU atomic,4,23100
GPU reduction,4,32100
CPU,8,200
GPU atomic,8,23400
GPU reduction,8,43900
CPU,16,200
GPU atomic,16,22900
GPU reduction,16,51100
CPU,32,400
GPU atomic,32,45200
GPU reduction,32,63700
CPU,64,300
GPU atomic,64,34400
GPU reduction,64,65100
CPU,128,700
GPU atomic,128,28800
GPU reduction,128,59800
CPU,256,700
GPU atomic,256,26100
GPU reduction,256,63800
CPU,512,1000
GPU atomic,512,29800
GPU reduction,512,68500
CPU,1024,2000
GPU atomic,1024,39400
GPU reduction,1024,77900
CPU,2048,3700
GPU atomic,2048,24600
GPU reduction,2048,77900
CPU,2,200
GPU atomic,2,23200
GPU reduction,2,36000
CPU,4,100
GPU atomic,4,32700
GPU reduction,4,46700
CPU,8,200
GPU atomic,8,26200
GPU reduction,8,38800
CPU,16,200
GPU atomic,16,23300
GPU reduction,16,48300
CPU,32,300
GPU atomic,32,31300
GPU reduction,32,48700
CPU,64,200
GPU atomic,64,36800
GPU reduction,64,52700
CPU,128,400
GPU atomic,128,21100
GPU reduction,128,57800
CPU,256,600
GPU atomic,256,39800
GPU reduction,256,70300
CPU,512,1100
GPU atomic,512,28200
GPU reduction,512,67300
CPU,1024,1900
